username,map_label,project_code,sampleMedia,combinedID,sampleID,internalSampleID,visitDate,dateAnalTPTN,TN,TP,dateAnalDiss,disNH4,disNO3,disPO4,dateAnalTDPTDN,TDN,TDP,locName,Pool Volume (cu ft),Location Sortable,specific_location,samp_type,notes,samp_notes,y,x,Mean_TP,Max_TP,Min_TP,Mean_TN,Max_TN,Min_TN,Mean_disNH4,Max_disNH4,Min_disNH4,Mean_disNO3,Max_disNO3,Min_disNO3,Mean_disPO4,Max_disPO4,Min_disPO4
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00043,W00043,A-20210527-20-001U,2021-05-27,20210603.0,3.365,0.598,20210603,0.138,,0.133,20210603,2.233,0.249,Wetland Pool 25,15000.0,Wetland Pool 25,Pool,sample,"Pool was full with water, no flow, cloudiest water of the pools we had sampled so far, was shallow near the south west end and had many frogs and tadpoles, had been sprayed with seed",,41.0239,-83.68451,0.18185714285714286,0.598,0.06,1.4995155714285713,3.365,0.68,0.07935,0.138,0.0207,0.0902,0.1227,0.0721,0.0453,0.133,0.0105
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00044,W00044,A-20210527-20-002U,2021-05-27,20210603.0,0.724,0.036,20210603,0.058,,,20210603,1.142,0.027,Wetland Pool 22,15000.0,Wetland Pool 22,Pool,sample,"Pool was full with water, no vegetation directly around or in pool, it had not yet been planted with seed.",,41.0239,-83.6873,0.17833333333333334,0.456,0.036,1.7066666666666663,5.18,0.704,0.051500000000000004,0.058,0.045,0.165781,0.4992,0.0433,0.1558,0.1558,0.1558
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00045,W00045,A-20210527-21-001U,2021-05-27,20210603.0,1.184,0.055,20210603,0.272,0.565,0.017,20210603,1.117,0.031,Wetland Pool 1,353316.0,Wetland Pool 01,Pool,sample,"Pool was mostly filled with water, but had been more full in the past. Water level did not extend past the dry island to the west of the pool. This can be considered a floodplain wetland",,41.0243,-83.6968,0.18638709677419354,0.791,0.009,2.3716120344827583,11.94,0.014,0.34228888888888886,2.2689,0.0116,0.4273170294117647,8.0644,0.017,0.030720000000000004,0.081,0.0013
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00046,W00046,A-20210527-21-002U,2021-05-27,20210603.0,1.154,0.066,20210603,0.208,0.563,0.026,20210603,1.078,0.061,Wetland Pool 1,353316.0,Wetland Pool 01,Pool,sample,"Pool was full but there was no flowing water, Aurand run was not flooded past the rock barrier so there was not flow from Aurand run at the time",,41.0239,-83.6963,0.18638709677419354,0.791,0.009,2.3716120344827583,11.94,0.014,0.34228888888888886,2.2689,0.0116,0.4273170294117647,8.0644,0.017,0.030720000000000004,0.081,0.0013
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00047,W00047,A-20210527-21-003U,2021-05-27,20210603.0,0.957,0.06,20210603,0.059,,0.01,20210603,0.896,0.043,Wetland Pool 3,5050.0,Wetland Pool 03,Pool,sample,"This pool was full and detritus could be found on the surface, there was more vegitation than other pools found within the pool",,41.0234,-83.6951,0.05433333333333334,0.06,0.046,0.7703333333333333,0.957,0.564,0.0445,0.059,0.03,0.125,0.125,0.125,0.013500000000000002,0.017,0.01
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00048,W00048,A-20210527-21-004U,2021-05-27,20210603.0,0.79,0.057,20210603,0.03,,0.017,20210603,0.943,0.05,Wetland Pool 3,5050.0,Wetland Pool 03,Pool,sample,"This pool was full and detritus could be found on the surface, there was more vegitation than other pools found within the pool",,41.0232,-83.6947,0.05433333333333334,0.06,0.046,0.7703333333333333,0.957,0.564,0.0445,0.059,0.03,0.125,0.125,0.125,0.013500000000000002,0.017,0.01
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00049,W00049,A-20210527-21-005U,2021-05-27,20210603.0,1.107,0.098,20210603,0.031,,,20210603,1.092,0.055,Wetland Pool 2,7383.0,Wetland Pool 02,Pool,sample,This pool was full of water,,41.0239,-83.6946,0.2728333333333333,0.69,0.056,2.7486666666666664,6.268,0.69,0.032,0.033,0.031,0.13154775,0.188591,0.0594,0.035108,0.054216,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00050,W00050,A-20210527-21-006U,2021-05-27,20210603.0,1.123,0.099,20210603,0.033,,,20210603,1.049,0.056,Wetland Pool 2,7383.0,Wetland Pool 02,Pool,sample,"This pool was full of water --> sample was weighed down too much in refridgerator and spilled, so it is all gone (discovered 06-17-2021)",,41.0242,-83.6951,0.2728333333333333,0.69,0.056,2.7486666666666664,6.268,0.69,0.032,0.033,0.031,0.13154775,0.188591,0.0594,0.035108,0.054216,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00051,W00051,A-20210527-21-007U,2021-05-27,20210603.0,0.8,0.108,20210603,0.122,0.01,0.169,20210603,0.692,0.064,Wetland Pool 18,19452.0,Wetland Pool 18,Pool,sample,This pool was full of water,,41.024038,-83.689883,0.09984615384615385,0.261,0.04,1.4081614615384614,2.537,0.484,0.12544,0.3864,0.0307,0.113521125,0.174,0.01,0.0682,0.169,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210527_W00052,W00052,A-20210527-21-008U,2021-05-27,20210603.0,0.833,0.072,20210603,0.075,,,20210603,0.781,0.022,Wetland Pool 14,4000.0,Wetland Pool 14,Pool,sample,This pool was full of water and had been sprayed with seed previously so plants were sprouting.,,41.024265,-83.690516,0.28025,0.884,0.072,2.4282500000000002,6.487,0.78,0.04173333333333334,0.075,0.0194,0.280889,0.681067,0.0673,0.019549999999999998,0.0264,0.0127
