Year,TN,TP,disNH4,disNO3,disPO4,TDN,TDP
2021,0.757,0.011,0,0.378045,0,0,0
2021,1.509,0.018,0.0144,0.1609,0.0573,0,0
2022,1.973,0,0,1.7361,0,0,0
2022,6.591,0.093,0.0243,5.8641,0,0,0
2022,1.061,0.015,0.0286,0.3119,0,0,0
2022,0.693127,0,0.0306,0.4943,0,0,0
2022,0.21334,0,0.0562,0.1076,0.0144,0,0
2022,0.358499,0,0,0.3615,0,0,0
2022,0.35,0,0.2631,0.2758,0,0,0
2023,11.79,0.45,0.098,9.3702,0.16,0,0
2023,4.54,0,0,4.4641,0,0,0
2021,0.762,0.022,0,0.406124,0,0,0
2021,0.982,0.022,0,0.1214,0,0,0
2022,1.992,0,0,1.6937,0,0,0
2022,7.272,0.122,0.0322,6.4222,0,0,0
2022,1.092,0.016,0.0483,0.3403,0,0,0
2022,0.662625,0,0.0279,0.5079,0,0,0
2022,0.220779,0,0,0.094,0.0118,0,0
2022,0.337236,0,0,0.3612,0,0,0
2022,0.37,0,0.1024,0.2875,0,0,0
2023,0.95,0,0,0.945,0,0,0
2023,4.7,0,0,4.4833,0,0,0
2023,0,0,0.0787,0.2963,0.0133,0,0
2021,0.817,0,0.0413,0.0979,0,0,0
2022,7.74,0.104,0.0175,6.8319,0.0236,0,0
2022,0.983,0.012,0.0633,0.2834,0,0,0
2022,0.677876,0,0.1359,0.3647,0,0,0
2022,0.272056,0,0.0706,0,0,0,0
2022,0.492202,0,0.1437,0.3037,0,0,0
2022,0.43,0,0.2311,0.2674,0,0,0
2023,0.73,0.02,0,0.6109,0,0,0
2023,15.57,0.02,0.0235,13.9452,0,0,0
2023,0,0,0,0,0,0,0
2021,1.184,0.055,0.272,0.565,0.017,1.117,0.031
2021,1.154,0.066,0.208,0.563,0.026,1.078,0.061
2021,2.485,0.113,0,0.172362,0,0,0
2021,2.339,0.105,0,0.170217,0,0,0
2021,3.237,0.182,0,0,0,0,0
2021,5.075,0.449,0,0.078,0.0013,0,0
2021,0,0.155,0,0.0621,0,0,0
2021,1.483,0.197,0.0116,0.0558,0,0,0
2021,0,0.185,0,0.0564,0,0,0
2021,0,0.207,0,0.0534,0,0,0
2021,0.963,0.074,0,0.0304,0.0113,0,0
2021,1.021,0.075,0,0.0361,0,0,0
2021,0.014,0,0,0.0277,0,0,0
2022,1.878,0.41,0,0.1785,0,0,0
2022,0.96,0.167,0,0.0721,0,0,0
2022,1.9,0.215,0,0.7441,0.0341,0,0
2022,1.58,0.155,0,0.5507,0.0285,0,0
2022,1.63,0.193,0,0.4366,0.0479,0,0
2022,9.7,0.281,0,0.1682,0.0467,0,0
2022,0,0,0,0,0,0,0
2022,0,0,0,0.017,0,0,0
2022,0,0,0,0.069,0,0,0
2022,0,0,0,0.0777,0,0,0
2022,3.332,0.279,0,0,0,0,0
2022,0.188071,0,0,0,0,0,0
2022,0.394685,0,0,0,0,0,0
2022,1.284713,0.114,0,0,0,0,0
2022,0,0.009,0,0,0,0,0
2022,0,0,0,0,0,0,0
2022,1.653387,0.211,0,0,0,0,0
2022,1.431975,0.16,0,0,0,0,0
2022,6.548918,0.791,0.0898,0.1946,0.0134,0,0
2022,0,0,0.045,0,0,0,0
2022,0,0,0.1126,0,0,0,0
2022,11.94,0.05,2.2689,8.0644,0,0,0
2023,0,0,0,0.1849,0,0,0
2023,0,0,0,0.078,0,0,0
2023,1.49,0.4,0,0.4357,0.081,0,0
2023,0,0.15,0.0213,0.291,0,0,0
2023,0,0,0.0514,0.1318,0,0,0
2023,1.04,0.2,0,0.132,0,0,0
2023,0.95,0.07,0,0,0,0,0
2023,0.92,0.03,0,0,0,0,0
2023,0,0,0,0.2741,0,0,0
